queue,shape,load,samples,p50_ns,p99_ns,p999_ns,max_ns
mpmc,pingpong,na,200000,210,678,959,53792
mpmc,e2e,saturated,200000,66971,128263,146064,149084
mpmc,e2e,moderate,200000,125,421,10856,41333
spsc,pingpong,na,200000,125,421,501,86625
spsc,e2e,saturated,200000,64131,159284,173701,184709
spsc,e2e,moderate,200000,84,369,9533,21583
mutex,pingpong,na,200000,2834,19910,61412,351458
mutex,e2e,saturated,200000,267884,395618,491301,505083
mutex,e2e,moderate,200000,2185,112631,173701,208667
moodycamel,pingpong,na,200000,210,918,1479,52000
moodycamel,e2e,saturated,200000,6610142,6610142,6610142,6597584
moodycamel,e2e,moderate,200000,125,918,10396,18459
