queue,shape,load,samples,p50_ns,p99_ns,p999_ns,max_ns
mpmc,pingpong,na,200000,169,546,4564,42375
mpmc,e2e,saturated,200000,61412,86850,112631,117208
mpmc,e2e,moderate,200000,250,4371,11336,19917
spsc,pingpong,na,200000,125,169,459,52333
spsc,e2e,saturated,200000,64131,166337,173701,184541
spsc,e2e,moderate,200000,84,3370,14078,43458
mutex,pingpong,na,200000,2714,20792,235236,2010000
mutex,e2e,saturated,200000,245650,413133,535768,545875
mutex,e2e,moderate,200000,1191,79642,128263,154292
moodycamel,pingpong,na,200000,210,1046,1919,44625
moodycamel,e2e,saturated,200000,6061527,6610142,6610142,6665458
moodycamel,e2e,moderate,200000,125,3090,26964,51583
