queue,shape,load,samples,p50_ns,p99_ns,p999_ns,max_ns
mpmc,pingpong,na,200000,169,622,708,42542
mpmc,e2e,saturated,200000,61412,112631,152531,155667
mpmc,e2e,moderate,200000,84,459,10856,26292
spsc,pingpong,na,200000,125,459,546,20209
spsc,e2e,saturated,200000,64131,159284,173701,179000
spsc,e2e,moderate,200000,84,459,15353,39166
mutex,pingpong,na,200000,2714,28157,189422,1604584
mutex,e2e,saturated,200000,245650,318569,395618,427541
mutex,e2e,moderate,200000,1357,61412,139872,200500
moodycamel,pingpong,na,200000,210,959,4185,57875
moodycamel,e2e,saturated,200000,6061527,8572294,8572294,8596625
moodycamel,e2e,moderate,200000,125,3838,15353,40041
