queue,producers,consumers,batch,trial,ops_per_sec
mpmc,1,1,1,0,47367607
mpmc,1,1,1,1,44783628
mpmc,1,1,1,2,41448862
mpmc,1,1,1,3,35424014
mpmc,1,1,1,4,43544998
mutex,1,1,1,0,16280544
mutex,1,1,1,1,16076488
mutex,1,1,1,2,17503275
mutex,1,1,1,3,15174303
mutex,1,1,1,4,15955250
moodycamel,1,1,1,0,50885851
moodycamel,1,1,1,1,42541764
moodycamel,1,1,1,2,49491105
moodycamel,1,1,1,3,50861830
moodycamel,1,1,1,4,49913042
mpmc,2,2,1,0,6462351
mpmc,2,2,1,1,6488092
mpmc,2,2,1,2,6568639
mpmc,2,2,1,3,6367642
mpmc,2,2,1,4,6694926
mutex,2,2,1,0,14219329
mutex,2,2,1,1,14415051
mutex,2,2,1,2,14336903
mutex,2,2,1,3,14067608
mutex,2,2,1,4,13974403
moodycamel,2,2,1,0,14923994
moodycamel,2,2,1,1,15183771
moodycamel,2,2,1,2,11754379
moodycamel,2,2,1,3,12359336
moodycamel,2,2,1,4,13597973
mpmc,4,4,1,0,4451597
mpmc,4,4,1,1,4457356
mpmc,4,4,1,2,4731018
mpmc,4,4,1,3,4398217
mpmc,4,4,1,4,4465254
mutex,4,4,1,0,16808942
mutex,4,4,1,1,16681034
mutex,4,4,1,2,16503934
mutex,4,4,1,3,16546426
mutex,4,4,1,4,16711874
moodycamel,4,4,1,0,8316427
moodycamel,4,4,1,1,8386883
moodycamel,4,4,1,2,8372566
moodycamel,4,4,1,3,8643079
moodycamel,4,4,1,4,8370051
spsc,1,1,1,0,50026094
spsc,1,1,1,1,44039697
spsc,1,1,1,2,41163521
spsc,1,1,1,3,44712138
spsc,1,1,1,4,51266811
mpmc,1,1,4,0,157964105
mpmc,1,1,4,1,123440916
mpmc,1,1,4,2,163266139
mpmc,1,1,4,3,94210935
mpmc,1,1,4,4,108846005
mutex,1,1,4,0,26992963
mutex,1,1,4,1,26982652
mutex,1,1,4,2,24261217
mutex,1,1,4,3,23751162
mutex,1,1,4,4,26025133
moodycamel,1,1,4,0,64790203
moodycamel,1,1,4,1,64587510
moodycamel,1,1,4,2,63187576
moodycamel,1,1,4,3,64669938
moodycamel,1,1,4,4,65464127
mpmc,1,1,8,0,158059947
mpmc,1,1,8,1,140031407
mpmc,1,1,8,2,169093125
mpmc,1,1,8,3,139569472
mpmc,1,1,8,4,161276097
mutex,1,1,8,0,28068583
mutex,1,1,8,1,23634298
mutex,1,1,8,2,24271130
mutex,1,1,8,3,26095147
mutex,1,1,8,4,33726072
moodycamel,1,1,8,0,114291768
moodycamel,1,1,8,1,131222116
moodycamel,1,1,8,2,129989357
moodycamel,1,1,8,3,123127989
moodycamel,1,1,8,4,106621412
mpmc,1,1,16,0,307652857
mpmc,1,1,16,1,283204637
mpmc,1,1,16,2,313350183
mpmc,1,1,16,3,279668541
mpmc,1,1,16,4,275119720
mutex,1,1,16,0,26680548
mutex,1,1,16,1,23207443
mutex,1,1,16,2,25066871
mutex,1,1,16,3,24114032
mutex,1,1,16,4,23264358
moodycamel,1,1,16,0,188632350
moodycamel,1,1,16,1,177355738
moodycamel,1,1,16,2,160135314
moodycamel,1,1,16,3,177068520
moodycamel,1,1,16,4,168486968
mpmc,1,1,32,0,550810893
mpmc,1,1,32,1,383285568
mpmc,1,1,32,2,548225251
mpmc,1,1,32,3,494821140
mpmc,1,1,32,4,389802589
mutex,1,1,32,0,93713667
mutex,1,1,32,1,94082366
mutex,1,1,32,2,92505423
mutex,1,1,32,3,93619491
mutex,1,1,32,4,94610456
moodycamel,1,1,32,0,292574104
moodycamel,1,1,32,1,255152209
moodycamel,1,1,32,2,285915100
moodycamel,1,1,32,3,304468548
moodycamel,1,1,32,4,254722313
mpmc,1,1,64,0,407476335
mpmc,1,1,64,1,335846938
mpmc,1,1,64,2,414369119
mpmc,1,1,64,3,441783509
mpmc,1,1,64,4,376429261
mutex,1,1,64,0,104538666
mutex,1,1,64,1,103909093
mutex,1,1,64,2,104399344
mutex,1,1,64,3,103915672
mutex,1,1,64,4,103224641
moodycamel,1,1,64,0,183221492
moodycamel,1,1,64,1,244102752
moodycamel,1,1,64,2,203318111
moodycamel,1,1,64,3,195377295
moodycamel,1,1,64,4,236207686
mpmc,2,2,4,0,26626948
mpmc,2,2,4,1,26310582
mpmc,2,2,4,2,26483237
mpmc,2,2,4,3,27192428
mpmc,2,2,4,4,26765334
mutex,2,2,4,0,30721593
mutex,2,2,4,1,30806796
mutex,2,2,4,2,30257739
mutex,2,2,4,3,30709436
mutex,2,2,4,4,30757283
moodycamel,2,2,4,0,47475150
moodycamel,2,2,4,1,55933397
moodycamel,2,2,4,2,51660564
moodycamel,2,2,4,3,41128119
moodycamel,2,2,4,4,45383398
mpmc,2,2,8,0,50021728
mpmc,2,2,8,1,49872824
mpmc,2,2,8,2,53172958
mpmc,2,2,8,3,51600669
mpmc,2,2,8,4,49757703
mutex,2,2,8,0,38219801
mutex,2,2,8,1,38391822
mutex,2,2,8,2,37639531
mutex,2,2,8,3,37852837
mutex,2,2,8,4,37512814
moodycamel,2,2,8,0,107277313
moodycamel,2,2,8,1,81012726
moodycamel,2,2,8,2,128265767
moodycamel,2,2,8,3,75923538
moodycamel,2,2,8,4,105510390
mpmc,2,2,16,0,84611279
mpmc,2,2,16,1,87645019
mpmc,2,2,16,2,85144351
mpmc,2,2,16,3,88612099
mpmc,2,2,16,4,94803111
mutex,2,2,16,0,42175296
mutex,2,2,16,1,42482265
mutex,2,2,16,2,42461192
mutex,2,2,16,3,35743760
mutex,2,2,16,4,43322140
moodycamel,2,2,16,0,140809848
moodycamel,2,2,16,1,166973365
moodycamel,2,2,16,2,180772409
moodycamel,2,2,16,3,136282621
moodycamel,2,2,16,4,185586860
mpmc,2,2,32,0,154238549
mpmc,2,2,32,1,156181366
mpmc,2,2,32,2,148800990
mpmc,2,2,32,3,158363447
mpmc,2,2,32,4,148411188
mutex,2,2,32,0,47086741
mutex,2,2,32,1,46764334
mutex,2,2,32,2,47686544
mutex,2,2,32,3,46974063
mutex,2,2,32,4,46670566
moodycamel,2,2,32,0,218180079
moodycamel,2,2,32,1,177612831
moodycamel,2,2,32,2,302212760
moodycamel,2,2,32,3,114259054
moodycamel,2,2,32,4,153647939
mpmc,2,2,64,0,225603403
mpmc,2,2,64,1,239490785
mpmc,2,2,64,2,230927996
mpmc,2,2,64,3,233814157
mpmc,2,2,64,4,230343149
mutex,2,2,64,0,50662558
mutex,2,2,64,1,50242262
mutex,2,2,64,2,50068218
mutex,2,2,64,3,50811852
mutex,2,2,64,4,50079175
moodycamel,2,2,64,0,255587306
moodycamel,2,2,64,1,212628354
moodycamel,2,2,64,2,179368176
