queue,producers,consumers,batch,trial,ops_per_sec
mpmc,1,1,1,0,34805327
mpmc,1,1,1,1,33509292
mpmc,1,1,1,2,43240916
mpmc,1,1,1,3,36000252
mpmc,1,1,1,4,34345549
mutex,1,1,1,0,17105878
mutex,1,1,1,1,13779717
mutex,1,1,1,2,14441571
mutex,1,1,1,3,13227257
mutex,1,1,1,4,13884406
moodycamel,1,1,1,0,45213524
moodycamel,1,1,1,1,47052089
moodycamel,1,1,1,2,48697507
moodycamel,1,1,1,3,48264586
moodycamel,1,1,1,4,43834415
mpmc,2,2,1,0,7895639
mpmc,2,2,1,1,7765259
mpmc,2,2,1,2,7635958
mpmc,2,2,1,3,7638287
mpmc,2,2,1,4,7843173
mutex,2,2,1,0,14103091
mutex,2,2,1,1,13998314
mutex,2,2,1,2,14031360
mutex,2,2,1,3,14064025
mutex,2,2,1,4,14102647
moodycamel,2,2,1,0,15616856
moodycamel,2,2,1,1,15410368
moodycamel,2,2,1,2,14599837
moodycamel,2,2,1,3,15334125
moodycamel,2,2,1,4,14913028
mpmc,4,4,1,0,4907114
mpmc,4,4,1,1,4876539
mpmc,4,4,1,2,5028614
mpmc,4,4,1,3,4834913
mpmc,4,4,1,4,4859754
mutex,4,4,1,0,16656796
mutex,4,4,1,1,16610709
mutex,4,4,1,2,16361880
mutex,4,4,1,3,16502558
mutex,4,4,1,4,16926952
moodycamel,4,4,1,0,8406068
moodycamel,4,4,1,1,8416017
moodycamel,4,4,1,2,8433675
moodycamel,4,4,1,3,8358444
moodycamel,4,4,1,4,8306205
spsc,1,1,1,0,58768002
spsc,1,1,1,1,40704191
spsc,1,1,1,2,57145374
spsc,1,1,1,3,54087036
spsc,1,1,1,4,44181615
mpmc,1,1,4,0,96892770
mpmc,1,1,4,1,119995426
mpmc,1,1,4,2,95483530
mpmc,1,1,4,3,112173252
mpmc,1,1,4,4,93780269
mutex,1,1,4,0,29035342
mutex,1,1,4,1,28664918
mutex,1,1,4,2,27087769
mutex,1,1,4,3,26483266
mutex,1,1,4,4,25958567
moodycamel,1,1,4,0,66904922
moodycamel,1,1,4,1,67811528
moodycamel,1,1,4,2,67781962
moodycamel,1,1,4,3,67448034
moodycamel,1,1,4,4,67195834
mpmc,1,1,8,0,160707918
mpmc,1,1,8,1,222623668
mpmc,1,1,8,2,190255358
mpmc,1,1,8,3,136721462
mpmc,1,1,8,4,182395422
mutex,1,1,8,0,19946274
mutex,1,1,8,1,20868361
mutex,1,1,8,2,19706816
mutex,1,1,8,3,21522357
mutex,1,1,8,4,19164965
moodycamel,1,1,8,0,130614644
moodycamel,1,1,8,1,132366780
moodycamel,1,1,8,2,119747558
moodycamel,1,1,8,3,124181743
moodycamel,1,1,8,4,132503348
mpmc,1,1,16,0,98291821
mpmc,1,1,16,1,117636247
mpmc,1,1,16,2,134428177
mpmc,1,1,16,3,122700642
mpmc,1,1,16,4,106481624
mutex,1,1,16,0,20876323
mutex,1,1,16,1,20291785
mutex,1,1,16,2,19143914
mutex,1,1,16,3,20200384
mutex,1,1,16,4,22582112
moodycamel,1,1,16,0,226455147
moodycamel,1,1,16,1,208305082
moodycamel,1,1,16,2,219648726
moodycamel,1,1,16,3,215808903
moodycamel,1,1,16,4,239988901
mpmc,1,1,32,0,111149126
mpmc,1,1,32,1,114568315
mpmc,1,1,32,2,175313808
mpmc,1,1,32,3,141807828
mpmc,1,1,32,4,122334058
mutex,1,1,32,0,85432473
mutex,1,1,32,1,87114733
mutex,1,1,32,2,84545184
mutex,1,1,32,3,84484955
mutex,1,1,32,4,85084471
moodycamel,1,1,32,0,222055680
moodycamel,1,1,32,1,220865586
moodycamel,1,1,32,2,189468695
moodycamel,1,1,32,3,191675683
moodycamel,1,1,32,4,175458159
mpmc,1,1,64,0,124576312
mpmc,1,1,64,1,111753045
mpmc,1,1,64,2,104183284
mpmc,1,1,64,3,104260508
mpmc,1,1,64,4,126129915
mutex,1,1,64,0,99238449
mutex,1,1,64,1,99533282
mutex,1,1,64,2,103645850
mutex,1,1,64,3,103824415
mutex,1,1,64,4,100784279
moodycamel,1,1,64,0,261642759
moodycamel,1,1,64,1,217551417
moodycamel,1,1,64,2,148666184
moodycamel,1,1,64,3,198056977
moodycamel,1,1,64,4,181037802
mpmc,2,2,4,0,22159023
mpmc,2,2,4,1,22469499
