queue,producers,consumers,batch,trial,ops_per_sec
mpmc,1,1,1,0,31600694
mpmc,1,1,1,1,30686682
mpmc,1,1,1,2,27843459
mpmc,1,1,1,3,32396976
mpmc,1,1,1,4,33394534
mutex,1,1,1,0,16096740
mutex,1,1,1,1,15931187
mutex,1,1,1,2,16009203
mutex,1,1,1,3,16773166
mutex,1,1,1,4,15520789
moodycamel,1,1,1,0,42885238
moodycamel,1,1,1,1,49065845
moodycamel,1,1,1,2,44201164
moodycamel,1,1,1,3,47666478
moodycamel,1,1,1,4,48859960
mpmc,2,2,1,0,7889369
mpmc,2,2,1,1,7991780
mpmc,2,2,1,2,7852885
mpmc,2,2,1,3,8312290
mpmc,2,2,1,4,8194548
mutex,2,2,1,0,14065449
mutex,2,2,1,1,14137590
mutex,2,2,1,2,14083314
mutex,2,2,1,3,14069945
mutex,2,2,1,4,14013197
moodycamel,2,2,1,0,14638681
moodycamel,2,2,1,1,14479386
moodycamel,2,2,1,2,12316399
moodycamel,2,2,1,3,14005199
moodycamel,2,2,1,4,14265571
mpmc,4,4,1,0,4774651
mpmc,4,4,1,1,4963166
mpmc,4,4,1,2,4745901
mpmc,4,4,1,3,5143678
mpmc,4,4,1,4,5480762
mutex,4,4,1,0,16371840
mutex,4,4,1,1,15891694
mutex,4,4,1,2,16280227
mutex,4,4,1,3,16843799
mutex,4,4,1,4,16792194
moodycamel,4,4,1,0,8638539
moodycamel,4,4,1,1,8722935
moodycamel,4,4,1,2,8405309
moodycamel,4,4,1,3,8640034
moodycamel,4,4,1,4,8375978
spsc,1,1,1,0,48433015
spsc,1,1,1,1,34105340
spsc,1,1,1,2,37330932
spsc,1,1,1,3,39984265
spsc,1,1,1,4,49669928
mpmc,1,1,4,0,173884534
mpmc,1,1,4,1,183234082
mpmc,1,1,4,2,146536808
mpmc,1,1,4,3,111604094
mpmc,1,1,4,4,105090946
mutex,1,1,4,0,25345270
mutex,1,1,4,1,25694429
mutex,1,1,4,2,27325850
mutex,1,1,4,3,26406493
mutex,1,1,4,4,26793422
moodycamel,1,1,4,0,65334100
moodycamel,1,1,4,1,66643249
moodycamel,1,1,4,2,65721509
moodycamel,1,1,4,3,65620454
moodycamel,1,1,4,4,66245022
mpmc,1,1,8,0,185189472
mpmc,1,1,8,1,169834252
mpmc,1,1,8,2,206460713
mpmc,1,1,8,3,152138857
mpmc,1,1,8,4,178079524
mutex,1,1,8,0,25612420
mutex,1,1,8,1,30226415
mutex,1,1,8,2,28017229
mutex,1,1,8,3,26382730
mutex,1,1,8,4,26029000
moodycamel,1,1,8,0,112282278
moodycamel,1,1,8,1,128273393
moodycamel,1,1,8,2,115386002
moodycamel,1,1,8,3,129965422
moodycamel,1,1,8,4,128650715
mpmc,1,1,16,0,116958567
mpmc,1,1,16,1,94944831
mpmc,1,1,16,2,107049189
mpmc,1,1,16,3,90271803
mpmc,1,1,16,4,119540441
mutex,1,1,16,0,29291592
mutex,1,1,16,1,24228741
mutex,1,1,16,2,20308018
mutex,1,1,16,3,21963284
mutex,1,1,16,4,23822499
moodycamel,1,1,16,0,214512914
moodycamel,1,1,16,1,192437217
moodycamel,1,1,16,2,232072965
moodycamel,1,1,16,3,220482098
moodycamel,1,1,16,4,243718224
mpmc,1,1,32,0,78986212
mpmc,1,1,32,1,132396171
mpmc,1,1,32,2,158582667
mpmc,1,1,32,3,103939694
mpmc,1,1,32,4,169158377
mutex,1,1,32,0,94123137
mutex,1,1,32,1,94676471
mutex,1,1,32,2,93241497
mutex,1,1,32,3,94721544
mutex,1,1,32,4,94534619
moodycamel,1,1,32,0,266238103
moodycamel,1,1,32,1,181704270
moodycamel,1,1,32,2,158669424
moodycamel,1,1,32,3,229392602
moodycamel,1,1,32,4,156990363
mpmc,1,1,64,0,74891729
mpmc,1,1,64,1,86802141
mpmc,1,1,64,2,73062308
mpmc,1,1,64,3,102237675
mpmc,1,1,64,4,77798182
mutex,1,1,64,0,105251501
mutex,1,1,64,1,104190690
mutex,1,1,64,2,106210552
mutex,1,1,64,3,105116088
mutex,1,1,64,4,106689131
moodycamel,1,1,64,0,239132847
moodycamel,1,1,64,1,251018783
moodycamel,1,1,64,2,193001291
moodycamel,1,1,64,3,167875753
moodycamel,1,1,64,4,183199288
mpmc,2,2,4,0,21018861
mpmc,2,2,4,1,21007378
mpmc,2,2,4,2,21442411
mpmc,2,2,4,3,21487460
mpmc,2,2,4,4,21921382
mutex,2,2,4,0,30503275
mutex,2,2,4,1,30303040
mutex,2,2,4,2,30389907
mutex,2,2,4,3,30347205
mutex,2,2,4,4,30555047
moodycamel,2,2,4,0,45591374
moodycamel,2,2,4,1,41259560
moodycamel,2,2,4,2,56375645
moodycamel,2,2,4,3,47051327
